,location,total_sqft,bath,price,bhk
2090,"Bahria Town Karachi, Karachi, Sindh",418,1,17,1
2091,"Bahria Town Karachi, Karachi, Sindh",1200,3,80,3
2096,"Bahria Town Karachi, Karachi, Sindh",1011,2,59,2
2097,"Bahria Town Karachi, Karachi, Sindh",1450,2,102,3
2098,"Bahria Town Karachi, Karachi, Sindh",1129,2,69,2
2100,"Bahria Town Karachi, Karachi, Sindh",1200,3,110,3
2101,"Bahria Town Karachi, Karachi, Sindh",1933,3,140,3
2102,"Bahria Town Karachi, Karachi, Sindh",2400,8,250,8
2103,"Bahria Town Karachi, Karachi, Sindh",610,1,28,1
2106,"Bahria Town Karachi, Karachi, Sindh",1798,3,150,3
2107,"Bahria Town Karachi, Karachi, Sindh",1864,3,120,3
2109,"Bahria Town Karachi, Karachi, Sindh",400,1,25,1
2110,"Bahria Town Karachi, Karachi, Sindh",1200,2,70,2
2112,"Bahria Town Karachi, Karachi, Sindh",950,2,57,2
2113,"Bahria Town Karachi, Karachi, Sindh",1200,2,62,2
2115,"Bahria Town Karachi, Karachi, Sindh",1277,2,77,2
2116,"Bahria Town Karachi, Karachi, Sindh",1820,3,140,3
2117,"Bahria Town Karachi, Karachi, Sindh",1530,3,87,4
2118,"Bahria Town Karachi, Karachi, Sindh",1880,4,110,3
2123,"Bahria Town Karachi, Karachi, Sindh",3453,4,247,4
2125,"Bahria Town Karachi, Karachi, Sindh",1850,3,140,3
2126,"Bahria Town Karachi, Karachi, Sindh",1250,2,78,2
2128,"Bahria Town Karachi, Karachi, Sindh",1244,2,88,2
2133,"Bahria Town Karachi, Karachi, Sindh",1470,2,84.22,3
2135,"Bahria Town Karachi, Karachi, Sindh",1752.12,3,125,3
2136,"Bahria Town Karachi, Karachi, Sindh",2990,3,170,3
2137,"Bahria Town Karachi, Karachi, Sindh",1660,3,85,3
2138,"Bahria Town Karachi, Karachi, Sindh",1275,3,63.43,3
2140,"Bahria Town Karachi, Karachi, Sindh",1200,2,90,3
2141,"Bahria Town Karachi, Karachi, Sindh",2546,3,170,3
2142,"Bahria Town Karachi, Karachi, Sindh",1392,3,69.46,3
2144,"Bahria Town Karachi, Karachi, Sindh",1162,2,64.08,2
2145,"Bahria Town Karachi, Karachi, Sindh",1476,2,73,3
2146,"Bahria Town Karachi, Karachi, Sindh",700,1,21.5,1
2151,"Bahria Town Karachi, Karachi, Sindh",1279,2,100,2
2155,"Bahria Town Karachi, Karachi, Sindh",1357,2,123,2
2156,"Bahria Town Karachi, Karachi, Sindh",1645,3,117,3
2157,"Bahria Town Karachi, Karachi, Sindh",1777.26,3,92,3
2159,"Bahria Town Karachi, Karachi, Sindh",1210,2,64.15,2
2161,"Bahria Town Karachi, Karachi, Sindh",1879,3,155,3
2164,"Bahria Town Karachi, Karachi, Sindh",1108,2,60,3
2167,"Bahria Town Karachi, Karachi, Sindh",1027,2,67,2
2171,"Bahria Town Karachi, Karachi, Sindh",1600,4,120,3
2172,"Bahria Town Karachi, Karachi, Sindh",1500,3,135,3
2173,"Bahria Town Karachi, Karachi, Sindh",1120,2,60,2
2178,"Bahria Town Karachi, Karachi, Sindh",1080,2,60,3
2180,"Bahria Town Karachi, Karachi, Sindh",1308,2,86,2
2182,"Bahria Town Karachi, Karachi, Sindh",1719,3,135,3
2185,"Bahria Town Karachi, Karachi, Sindh",1090,2,31.48,1
2186,"Bahria Town Karachi, Karachi, Sindh",1660,3,104,3
2188,"Bahria Town Karachi, Karachi, Sindh",1595,3,96,3
2190,"Bahria Town Karachi, Karachi, Sindh",1184,2,78,2
2192,"Bahria Town Karachi, Karachi, Sindh",935,2,78,2
2195,"Bahria Town Karachi, Karachi, Sindh",1000,2,52,2
2196,"Bahria Town Karachi, Karachi, Sindh",1705,3,85,3
2197,"Bahria Town Karachi, Karachi, Sindh",1060,2,58.3,3
2200,"Bahria Town Karachi, Karachi, Sindh",1402,2,95,2
2201,"Bahria Town Karachi, Karachi, Sindh",2280,4,125,3
2202,"Bahria Town Karachi, Karachi, Sindh",1225,2,71.05,2
2206,"Bahria Town Karachi, Karachi, Sindh",2500,4,225,4
2207,"Bahria Town Karachi, Karachi, Sindh",1200,2,78,2
2209,"Bahria Town Karachi, Karachi, Sindh",1200,3,78,2
2211,"Bahria Town Karachi, Karachi, Sindh",2882,5,200,4
2212,"Bahria Town Karachi, Karachi, Sindh",7000,8,450,4
2216,"Bahria Town Karachi, Karachi, Sindh",1449,3,72,3
2218,"Bahria Town Karachi, Karachi, Sindh",2700,3,200,3
2221,"Bahria Town Karachi, Karachi, Sindh",3300,8,310,8
2224,"Bahria Town Karachi, Karachi, Sindh",1300,2,95,2
2226,"Bahria Town Karachi, Karachi, Sindh",2289,3,178,3
2228,"Bahria Town Karachi, Karachi, Sindh",1350,2,89.5,2
2230,"Bahria Town Karachi, Karachi, Sindh",1698,3,125,3
2232,"Bahria Town Karachi, Karachi, Sindh",1060,2,58.5,2
2233,"Bahria Town Karachi, Karachi, Sindh",1185,2,75,2
2234,"Bahria Town Karachi, Karachi, Sindh",2051,3,180,3
2235,"Bahria Town Karachi, Karachi, Sindh",1252,2,67,2
2236,"Bahria Town Karachi, Karachi, Sindh",1885,3,125,3
2237,"Bahria Town Karachi, Karachi, Sindh",3381,6,225,6
2241,"Bahria Town Karachi, Karachi, Sindh",1776,3,124,3
2243,"Bahria Town Karachi, Karachi, Sindh",2569,5,180,4
2246,"Bahria Town Karachi, Karachi, Sindh",918,2,56,2
2247,"Bahria Town Karachi, Karachi, Sindh",1330,2,68,3
2248,"Bahria Town Karachi, Karachi, Sindh",1200,2,80,2
2251,"Bahria Town Karachi, Karachi, Sindh",827.5,1,42.535,1
2252,"Bahria Town Karachi, Karachi, Sindh",1100,2,72,3
2253,"Bahria Town Karachi, Karachi, Sindh",1200,3,68,3
2258,"Bahria Town Karachi, Karachi, Sindh",3800,6,390,6
2259,"Bahria Town Karachi, Karachi, Sindh",3300,3,165,3
2262,"Bahria Town Karachi, Karachi, Sindh",1995,3,100,3
2263,"Bahria Town Karachi, Karachi, Sindh",1293,2,80,2
2265,"Bahria Town Karachi, Karachi, Sindh",1280,2,68.48,2
2266,"Bahria Town Karachi, Karachi, Sindh",1245,2,83.05,2
2269,"Bahria Town Karachi, Karachi, Sindh",1100,3,58,3
2270,"Bahria Town Karachi, Karachi, Sindh",1065,3,72,3
2271,"Bahria Town Karachi, Karachi, Sindh",1610,2,112,3
2272,"Bahria Town Karachi, Karachi, Sindh",850,1,78,1
2277,"Bahria Town Karachi, Karachi, Sindh",1353,2,75,2
2278,"Bahria Town Karachi, Karachi, Sindh",2100,3,210,4
2280,"Bahria Town Karachi, Karachi, Sindh",1270,2,96,2
2281,"Bahria Town Karachi, Karachi, Sindh",2695,4,188,4
2282,"Bahria Town Karachi, Karachi, Sindh",1400,2,90,2
2283,"Bahria Town Karachi, Karachi, Sindh",1450,3,79,3
2287,"Bahria Town Karachi, Karachi, Sindh",1080,2,67,2
2288,"Bahria Town Karachi, Karachi, Sindh",1070,2,57,2
2289,"Bahria Town Karachi, Karachi, Sindh",1980,4,180,3
2291,"Bahria Town Karachi, Karachi, Sindh",700,1,31.2,1
2293,"Bahria Town Karachi, Karachi, Sindh",1884,3,95,3
2294,"Bahria Town Karachi, Karachi, Sindh",1100,2,75,2
2296,"Bahria Town Karachi, Karachi, Sindh",1329,2,107,2
2297,"Bahria Town Karachi, Karachi, Sindh",1513,3,103,3
2298,"Bahria Town Karachi, Karachi, Sindh",705,1,65,1
2301,"Bahria Town Karachi, Karachi, Sindh",1400,3,75,3
2302,"Bahria Town Karachi, Karachi, Sindh",1245,2,80,2
2306,"Bahria Town Karachi, Karachi, Sindh",1250,2,75,2
2308,"Bahria Town Karachi, Karachi, Sindh",1261,2,80,3
2313,"Bahria Town Karachi, Karachi, Sindh",1590,2,135,3
2316,"Bahria Town Karachi, Karachi, Sindh",1750,3,105,3
2318,"Bahria Town Karachi, Karachi, Sindh",1200,2,66,3
2319,"Bahria Town Karachi, Karachi, Sindh",1500,2,140,2
2320,"Bahria Town Karachi, Karachi, Sindh",1560,3,90,3
2321,"Bahria Town Karachi, Karachi, Sindh",3758,3,300,3
2323,"Bahria Town Karachi, Karachi, Sindh",3150,5,212,4
2324,"Bahria Town Karachi, Karachi, Sindh",1960,3,165,3
2325,"Bahria Town Karachi, Karachi, Sindh",3200,5,309,4
2326,"Bahria Town Karachi, Karachi, Sindh",1195,2,100,2
2329,"Bahria Town Karachi, Karachi, Sindh",648,1,40,1
2330,"Bahria Town Karachi, Karachi, Sindh",2100,3,130,3
2333,"Bahria Town Karachi, Karachi, Sindh",650,1,18,1
2335,"Bahria Town Karachi, Karachi, Sindh",1100,2,90,2
2336,"Bahria Town Karachi, Karachi, Sindh",1075,2,57,3
2337,"Bahria Town Karachi, Karachi, Sindh",1100,2,63,2
2340,"Bahria Town Karachi, Karachi, Sindh",1246,2,67.5,2
2341,"Bahria Town Karachi, Karachi, Sindh",1718,3,90.2,3
2343,"Bahria Town Karachi, Karachi, Sindh",1480,3,75.48,3
2344,"Bahria Town Karachi, Karachi, Sindh",500,1,13,1
2345,"Bahria Town Karachi, Karachi, Sindh",1200,4,125,4
2348,"Bahria Town Karachi, Karachi, Sindh",1685,3,90,3
2349,"Bahria Town Karachi, Karachi, Sindh",1180,2,65,2
2355,"Bahria Town Karachi, Karachi, Sindh",1610,2,115,3
2357,"Bahria Town Karachi, Karachi, Sindh",975,2,55,2
2362,"Bahria Town Karachi, Karachi, Sindh",1115,2,115,2
2363,"Bahria Town Karachi, Karachi, Sindh",1197,2,76,2
2364,"Bahria Town Karachi, Karachi, Sindh",644,1,32,1
2371,"Bahria Town Karachi, Karachi, Sindh",1560,3,78,3
2372,"Bahria Town Karachi, Karachi, Sindh",750,1,47,1
2373,"Bahria Town Karachi, Karachi, Sindh",1035,2,90,2
2374,"Bahria Town Karachi, Karachi, Sindh",702,1,35.8,1
2376,"Bahria Town Karachi, Karachi, Sindh",1885,3,135,3
2378,"Bahria Town Karachi, Karachi, Sindh",1171,2,73,2
2380,"Bahria Town Karachi, Karachi, Sindh",1820,3,95,3
2381,"Bahria Town Karachi, Karachi, Sindh",1445,2,89.56,3
2385,"Bahria Town Karachi, Karachi, Sindh",2600,3,160,3
2387,"Bahria Town Karachi, Karachi, Sindh",1473,2,85,2
2390,"Bahria Town Karachi, Karachi, Sindh",1650,3,100,3
2393,"Bahria Town Karachi, Karachi, Sindh",750,1,35,1
2394,"Bahria Town Karachi, Karachi, Sindh",883,2,49,2
2395,"Bahria Town Karachi, Karachi, Sindh",2787,5,220,4
2397,"Bahria Town Karachi, Karachi, Sindh",1275,2,76,2
2398,"Bahria Town Karachi, Karachi, Sindh",1200,2,70,2
2402,"Bahria Town Karachi, Karachi, Sindh",1300,2,75,2
2404,"Bahria Town Karachi, Karachi, Sindh",1200,2,82,2
2405,"Bahria Town Karachi, Karachi, Sindh",2275,4,187,3
2406,"Bahria Town Karachi, Karachi, Sindh",1724,3,128,3
2408,"Bahria Town Karachi, Karachi, Sindh",1140,2,78,2
2409,"Bahria Town Karachi, Karachi, Sindh",1950,4,120,3
2410,"Bahria Town Karachi, Karachi, Sindh",1756,3,125,3
2411,"Bahria Town Karachi, Karachi, Sindh",520,1,14.04,1
2413,"Bahria Town Karachi, Karachi, Sindh",1216,2,72,2
2414,"Bahria Town Karachi, Karachi, Sindh",3335,4,300,4
2418,"Bahria Town Karachi, Karachi, Sindh",1804,3,155,3
2420,"Bahria Town Karachi, Karachi, Sindh",1200,4,105,4
2421,"Bahria Town Karachi, Karachi, Sindh",2375,4,189,4
2422,"Bahria Town Karachi, Karachi, Sindh",1750,3,120,3
2423,"Bahria Town Karachi, Karachi, Sindh",965,2,54,2
2424,"Bahria Town Karachi, Karachi, Sindh",1684,3,120,3
2425,"Bahria Town Karachi, Karachi, Sindh",1500,5,95,3
2427,"Bahria Town Karachi, Karachi, Sindh",1300,2,69,3
2428,"Bahria Town Karachi, Karachi, Sindh",1875,2,110,3
2429,"Bahria Town Karachi, Karachi, Sindh",1260,2,82,3
2430,"Bahria Town Karachi, Karachi, Sindh",2200,2,190,3
2433,"Bahria Town Karachi, Karachi, Sindh",1050,2,58,2
2436,"Bahria Town Karachi, Karachi, Sindh",1507,3,80,3
2438,"Bahria Town Karachi, Karachi, Sindh",2162.03,4,129,3
2440,"Bahria Town Karachi, Karachi, Sindh",400,1,10.25,1
2441,"Bahria Town Karachi, Karachi, Sindh",1465,2,75,3
2443,"Bahria Town Karachi, Karachi, Sindh",1800,3,95,3
2444,"Bahria Town Karachi, Karachi, Sindh",1175,2,83,2
2445,"Bahria Town Karachi, Karachi, Sindh",1050,2,59,2
2447,"Bahria Town Karachi, Karachi, Sindh",1650,3,150,3
2448,"Bahria Town Karachi, Karachi, Sindh",1827,3,97,3
2450,"Bahria Town Karachi, Karachi, Sindh",5400,5,475,4
2451,"Bahria Town Karachi, Karachi, Sindh",1843,3,95,3
2453,"Bahria Town Karachi, Karachi, Sindh",1396,3,74,3
2454,"Bahria Town Karachi, Karachi, Sindh",1610,2,119,3
2455,"Bahria Town Karachi, Karachi, Sindh",1050,2,55,2
2458,"Bahria Town Karachi, Karachi, Sindh",1310,2,85,3
2459,"Bahria Town Karachi, Karachi, Sindh",1104,2,58,2
2460,"Bahria Town Karachi, Karachi, Sindh",1165,2,67,2
2465,"Bahria Town Karachi, Karachi, Sindh",1260,2,75,2
2466,"Bahria Town Karachi, Karachi, Sindh",1755,3,117,3
2468,"Bahria Town Karachi, Karachi, Sindh",1200,4,125,4
2469,"Bahria Town Karachi, Karachi, Sindh",1260,2,85.5,2
2471,"Bahria Town Karachi, Karachi, Sindh",1305,3,65,3
2477,"Bahria Town Karachi, Karachi, Sindh",1920,3,122,3
2479,"Bahria Town Karachi, Karachi, Sindh",1201,2,80,2
2480,"Bahria Town Karachi, Karachi, Sindh",1991,4,100,3
2481,"Bahria Town Karachi, Karachi, Sindh",1377,2,80,2
2482,"Bahria Town Karachi, Karachi, Sindh",663,1,32.82,1
2483,"Bahria Town Karachi, Karachi, Sindh",3554,4,340,3
2486,"Bahria Town Karachi, Karachi, Sindh",1806,6,116,3
2487,"Bahria Town Karachi, Karachi, Sindh",3671,4,220,4
2489,"Bahria Town Karachi, Karachi, Sindh",1625,3,92,3
2490,"Bahria Town Karachi, Karachi, Sindh",1299,2,89.63,2
2491,"Bahria Town Karachi, Karachi, Sindh",1343,2,76,2
2493,"Bahria Town Karachi, Karachi, Sindh",2236,4,153,4
2494,"Bahria Town Karachi, Karachi, Sindh",2955,3,235,3
2498,"Bahria Town Karachi, Karachi, Sindh",2100,3,220,3
2502,"Bahria Town Karachi, Karachi, Sindh",1625,3,95,3
2504,"Bahria Town Karachi, Karachi, Sindh",1615,3,150,3
2505,"Bahria Town Karachi, Karachi, Sindh",1180,2,85,2
2506,"Bahria Town Karachi, Karachi, Sindh",1500,2,91,2
2507,"Bahria Town Karachi, Karachi, Sindh",850,2,45,2
2508,"Bahria Town Karachi, Karachi, Sindh",2400,3,140,4
2513,"Bahria Town Karachi, Karachi, Sindh",1274,2,90,2
2515,"Bahria Town Karachi, Karachi, Sindh",1195,2,75,2
2518,"Bahria Town Karachi, Karachi, Sindh",1820,3,95.5,3
2520,"Bahria Town Karachi, Karachi, Sindh",1615,3,96.9,3
2522,"Bahria Town Karachi, Karachi, Sindh",985,2,62.5,2
2532,"Bahria Town Karachi, Karachi, Sindh",1427,2,85,3
2533,"Bahria Town Karachi, Karachi, Sindh",1420,2,95,3
2534,"Bahria Town Karachi, Karachi, Sindh",1600,5,130,4
2535,"Bahria Town Karachi, Karachi, Sindh",2031,2,200,2
2536,"Bahria Town Karachi, Karachi, Sindh",1454,2,90,2
2538,"Bahria Town Karachi, Karachi, Sindh",2000,3,180,4
2539,"Bahria Town Karachi, Karachi, Sindh",1346,2,74.03,2
2541,"Bahria Town Karachi, Karachi, Sindh",700,1,25.5,1
2542,"Bahria Town Karachi, Karachi, Sindh",1405,2,99,2
2544,"Bahria Town Karachi, Karachi, Sindh",2153,4,120,3
2545,"Bahria Town Karachi, Karachi, Sindh",1200,3,120,3
2546,"Bahria Town Karachi, Karachi, Sindh",2135,3,170,3
2550,"Bahria Town Karachi, Karachi, Sindh",1382,2,84.5,2
2553,"Bahria Town Karachi, Karachi, Sindh",475,1,26,1
2554,"Bahria Town Karachi, Karachi, Sindh",1200,2,115,2
2558,"Bahria Town Karachi, Karachi, Sindh",1623.29,2,105,3
2559,"Bahria Town Karachi, Karachi, Sindh",1260,2,70,2
2560,"Bahria Town Karachi, Karachi, Sindh",3000,4,240,3
2562,"Bahria Town Karachi, Karachi, Sindh",705,1,34.545,1
2563,"Bahria Town Karachi, Karachi, Sindh",2000,3,200,3
2564,"Bahria Town Karachi, Karachi, Sindh",2257,3,155,3
2567,"Bahria Town Karachi, Karachi, Sindh",1150,2,90,2
2568,"Bahria Town Karachi, Karachi, Sindh",1837,3,110,3
2569,"Bahria Town Karachi, Karachi, Sindh",1830,3,91.86,3
2570,"Bahria Town Karachi, Karachi, Sindh",1715,3,115,3
2573,"Bahria Town Karachi, Karachi, Sindh",1168,2,66,2
2576,"Bahria Town Karachi, Karachi, Sindh",654,1,49,1
2577,"Bahria Town Karachi, Karachi, Sindh",5656,5,499,3
2579,"Bahria Town Karachi, Karachi, Sindh",950,2,60,2
2584,"Bahria Town Karachi, Karachi, Sindh",1390,2,69.49,3
2585,"Bahria Town Karachi, Karachi, Sindh",1510,3,78,3
2586,"Bahria Town Karachi, Karachi, Sindh",1305,2,90,2
2588,"Bahria Town Karachi, Karachi, Sindh",1231,2,84.5,2
2589,"Bahria Town Karachi, Karachi, Sindh",2500,3,138,3
2591,"Bahria Town Karachi, Karachi, Sindh",1354,2,70,2
2592,"Bahria Town Karachi, Karachi, Sindh",2453,3,250,4
2594,"Bahria Town Karachi, Karachi, Sindh",1680,2,92,3
2596,"Bahria Town Karachi, Karachi, Sindh",1400,2,86,3
2597,"Bahria Town Karachi, Karachi, Sindh",1625,3,150,3
2600,"Bahria Town Karachi, Karachi, Sindh",1250,2,65,2
2601,"Bahria Town Karachi, Karachi, Sindh",1200,2,120,2
2602,"Bahria Town Karachi, Karachi, Sindh",1200,4,100,4
2605,"Bahria Town Karachi, Karachi, Sindh",2051,3,170,3
2606,"Bahria Town Karachi, Karachi, Sindh",1470,2,99,3
2607,"Bahria Town Karachi, Karachi, Sindh",2505,3,165,3
2609,"Bahria Town Karachi, Karachi, Sindh",1200,2,70,2
2610,"Bahria Town Karachi, Karachi, Sindh",1705,2,86.96,3
2613,"Bahria Town Karachi, Karachi, Sindh",567,1,25,1
2614,"Bahria Town Karachi, Karachi, Sindh",1846,3,120,3
2615,"Bahria Town Karachi, Karachi, Sindh",1015,2,56,2
2617,"Bahria Town Karachi, Karachi, Sindh",1965,4,125,3
2619,"Bahria Town Karachi, Karachi, Sindh",1230,2,67.65,2
2621,"Bahria Town Karachi, Karachi, Sindh",1894,4,114,3
2622,"Bahria Town Karachi, Karachi, Sindh",1950,3,131,3
2623,"Bahria Town Karachi, Karachi, Sindh",1231,2,66,2
2625,"Bahria Town Karachi, Karachi, Sindh",1800,3,120,4
2626,"Bahria Town Karachi, Karachi, Sindh",1650,3,135,3
2628,"Bahria Town Karachi, Karachi, Sindh",925,2,68,2
2633,"Bahria Town Karachi, Karachi, Sindh",1183,2,79.54,2
2634,"Bahria Town Karachi, Karachi, Sindh",1750,3,100,3
2635,"Bahria Town Karachi, Karachi, Sindh",747,1,27,1
2636,"Bahria Town Karachi, Karachi, Sindh",1342,2,90,2
2638,"Bahria Town Karachi, Karachi, Sindh",1738,3,110,3
2639,"Bahria Town Karachi, Karachi, Sindh",1206,2,90,2
2640,"Bahria Town Karachi, Karachi, Sindh",2790,4,198,4
2643,"Bahria Town Karachi, Karachi, Sindh",1857,4,155,3
2646,"Bahria Town Karachi, Karachi, Sindh",1290,2,72,2
2648,"Bahria Town Karachi, Karachi, Sindh",1150,2,70,2
2649,"Bahria Town Karachi, Karachi, Sindh",1040,2,109,3
2650,"Bahria Town Karachi, Karachi, Sindh",1160,2,64.08,2
2653,"Bahria Town Karachi, Karachi, Sindh",2240,4,160,4
2655,"Bahria Town Karachi, Karachi, Sindh",1852,3,125,3
2661,"Bahria Town Karachi, Karachi, Sindh",1876,3,150,3
2662,"Bahria Town Karachi, Karachi, Sindh",1720,3,95,3
2663,"Bahria Town Karachi, Karachi, Sindh",1200,4,80,4
2664,"Bahria Town Karachi, Karachi, Sindh",1175,2,86.68,2
2665,"Bahria Town Karachi, Karachi, Sindh",500,1,51,1
2666,"Bahria Town Karachi, Karachi, Sindh",1893,3,130,3
2668,"Bahria Town Karachi, Karachi, Sindh",850,2,45,2
2669,"Bahria Town Karachi, Karachi, Sindh",1392,2,110,2
2670,"Bahria Town Karachi, Karachi, Sindh",1832,3,160,3
2671,"Bahria Town Karachi, Karachi, Sindh",1432,2,85,2
2673,"Bahria Town Karachi, Karachi, Sindh",1843,3,96.2,3
2674,"Bahria Town Karachi, Karachi, Sindh",1916,2,150,3
2677,"Bahria Town Karachi, Karachi, Sindh",2640,2,170,2
2679,"Bahria Town Karachi, Karachi, Sindh",1200,2,80,2
2681,"Bahria Town Karachi, Karachi, Sindh",1500,3,100,3
2684,"Bahria Town Karachi, Karachi, Sindh",1294,2,115,2
2686,"Bahria Town Karachi, Karachi, Sindh",1216,2,75,2
2688,"Bahria Town Karachi, Karachi, Sindh",1430,2,102,3
2693,"Bahria Town Karachi, Karachi, Sindh",1055,2,75,2
2695,"Bahria Town Karachi, Karachi, Sindh",1128,2,63.5,2
2696,"Bahria Town Karachi, Karachi, Sindh",589,1,29,1
2698,"Bahria Town Karachi, Karachi, Sindh",1315,2,74,2
2701,"Bahria Town Karachi, Karachi, Sindh",2100,3,150,3
2703,"Bahria Town Karachi, Karachi, Sindh",925,2,49.82,3
2706,"Bahria Town Karachi, Karachi, Sindh",1745,3,130,3
2708,"Bahria Town Karachi, Karachi, Sindh",1160,2,65,2
2709,"Bahria Town Karachi, Karachi, Sindh",1246,2,67.4,2
2710,"Bahria Town Karachi, Karachi, Sindh",1128,2,60,2
2711,"Bahria Town Karachi, Karachi, Sindh",2089,3,148,3
2714,"Bahria Town Karachi, Karachi, Sindh",1850,4,121,3
2716,"Bahria Town Karachi, Karachi, Sindh",1200,3,70,2
2717,"Bahria Town Karachi, Karachi, Sindh",2160,3,170,3
2719,"Bahria Town Karachi, Karachi, Sindh",1297,2,98,2
2721,"Bahria Town Karachi, Karachi, Sindh",1290,2,88,2
2726,"Bahria Town Karachi, Karachi, Sindh",1371,2,86,2
2728,"Bahria Town Karachi, Karachi, Sindh",1575,3,94.5,3
2730,"Bahria Town Karachi, Karachi, Sindh",1255,3,90,3
2733,"Bahria Town Karachi, Karachi, Sindh",1234,2,80,2
2734,"Bahria Town Karachi, Karachi, Sindh",1584,3,101,3
2737,"Bahria Town Karachi, Karachi, Sindh",645,1,16.45,1
2738,"Bahria Town Karachi, Karachi, Sindh",1585,2,79,3
2739,"Bahria Town Karachi, Karachi, Sindh",1354,2,71,2
2740,"Bahria Town Karachi, Karachi, Sindh",1200,3,75,3
2741,"Bahria Town Karachi, Karachi, Sindh",1740,2,137,3
2744,"Bahria Town Karachi, Karachi, Sindh",1583,3,95.23,3
2745,"Bahria Town Karachi, Karachi, Sindh",1122.5,2,61.74,2
2746,"Bahria Town Karachi, Karachi, Sindh",1573,3,100,3
2749,"Bahria Town Karachi, Karachi, Sindh",1650,3,125,3
2751,"Bahria Town Karachi, Karachi, Sindh",1735,3,97,3
2752,"Bahria Town Karachi, Karachi, Sindh",1730,3,175,3
2753,"Bahria Town Karachi, Karachi, Sindh",1684,3,86,3
2755,"Bahria Town Karachi, Karachi, Sindh",1654,3,82,3
2757,"Bahria Town Karachi, Karachi, Sindh",1655,3,95,3
2758,"Bahria Town Karachi, Karachi, Sindh",1830,3,121,3
2759,"Bahria Town Karachi, Karachi, Sindh",1430,3,85,3
2760,"Bahria Town Karachi, Karachi, Sindh",1989,4,155,3
2761,"Bahria Town Karachi, Karachi, Sindh",1426,3,85,3
2765,"Bahria Town Karachi, Karachi, Sindh",580,1,45,1
2766,"Bahria Town Karachi, Karachi, Sindh",1200,2,66,3
2768,"Bahria Town Karachi, Karachi, Sindh",1910,4,150,3
2769,"Bahria Town Karachi, Karachi, Sindh",1950,3,132,3
2770,"Bahria Town Karachi, Karachi, Sindh",1724,3,125,3
2775,"Bahria Town Karachi, Karachi, Sindh",2400,4,150,4
2776,"Bahria Town Karachi, Karachi, Sindh",1332,2,108,2
2778,"Bahria Town Karachi, Karachi, Sindh",2444,4,145,4
2780,"Bahria Town Karachi, Karachi, Sindh",1025,2,54,2
2782,"Bahria Town Karachi, Karachi, Sindh",2180,4,180,3
2783,"Bahria Town Karachi, Karachi, Sindh",1932.47,3,183,3
2784,"Bahria Town Karachi, Karachi, Sindh",2086,3,160,3
2789,"Bahria Town Karachi, Karachi, Sindh",2503,3,138,3
2790,"Bahria Town Karachi, Karachi, Sindh",1075,2,60,2
2791,"Bahria Town Karachi, Karachi, Sindh",1260,2,83.5,2
2797,"Bahria Town Karachi, Karachi, Sindh",1157,2,73,2
2800,"Bahria Town Karachi, Karachi, Sindh",1210,2,69,2
2803,"Bahria Town Karachi, Karachi, Sindh",1215,2,65,2
2805,"Bahria Town Karachi, Karachi, Sindh",1535,3,90,3
2808,"Bahria Town Karachi, Karachi, Sindh",957,2,56,2
2812,"Bahria Town Karachi, Karachi, Sindh",2206,4,180,3
2813,"Bahria Town Karachi, Karachi, Sindh",1181,2,61,2
2814,"Bahria Town Karachi, Karachi, Sindh",1309,2,69.5,2
2816,"Bahria Town Karachi, Karachi, Sindh",1622,3,95,3
2818,"Bahria Town Karachi, Karachi, Sindh",1719,3,95,3
2820,"Bahria Town Karachi, Karachi, Sindh",1047,2,75,2
2822,"Bahria Town Karachi, Karachi, Sindh",1270,2,105,2
2823,"Bahria Town Karachi, Karachi, Sindh",2485,4,198,4
2824,"Bahria Town Karachi, Karachi, Sindh",1344,3,130,4
2827,"Bahria Town Karachi, Karachi, Sindh",1173,2,78.2,2
2828,"Bahria Town Karachi, Karachi, Sindh",1662,3,155,3
2829,"Bahria Town Karachi, Karachi, Sindh",1362,2,85,2
2834,"Bahria Town Karachi, Karachi, Sindh",1510,2,110,3
2836,"Bahria Town Karachi, Karachi, Sindh",1457,2,105,3
2837,"Bahria Town Karachi, Karachi, Sindh",3596,4,268,4
2838,"Bahria Town Karachi, Karachi, Sindh",1565,3,78,3
2839,"Bahria Town Karachi, Karachi, Sindh",1720,3,128,3
2841,"Bahria Town Karachi, Karachi, Sindh",1360,2,78.19,2
2843,"Bahria Town Karachi, Karachi, Sindh",1701,2,145,2
2844,"Bahria Town Karachi, Karachi, Sindh",1350,1,120,3
2849,"Bahria Town Karachi, Karachi, Sindh",1945,3,135,3
2850,"Bahria Town Karachi, Karachi, Sindh",1348,2,80.5,3
2853,"Bahria Town Karachi, Karachi, Sindh",1855,3,135,3
2855,"Bahria Town Karachi, Karachi, Sindh",2400,4,228,4
2859,"Bahria Town Karachi, Karachi, Sindh",1650,3,115,3
2864,"Bahria Town Karachi, Karachi, Sindh",1936,3,131,3
2865,"Bahria Town Karachi, Karachi, Sindh",1075,2,58,2
2866,"Bahria Town Karachi, Karachi, Sindh",1223,2,93,2
2869,"Bahria Town Karachi, Karachi, Sindh",2100,3,190,3
2870,"Bahria Town Karachi, Karachi, Sindh",1650,2,130,3
2871,"Bahria Town Karachi, Karachi, Sindh",1495,2,78,2
2872,"Bahria Town Karachi, Karachi, Sindh",1500,2,82,3
